titre,url_fiche,annee_sortie,id_imdb,id_moviedb_final,budget
L' État sauvage,https://www.imdb.com/title/tt8770976/?ref_=adv_li_tt,2019,tt8770976,582919,0
Roads,https://www.imdb.com/title/tt7303530/?ref_=adv_li_tt,2019,tt7303530,480527,0
Une jeunesse dorée,https://www.imdb.com/title/tt7893416/?ref_=adv_li_tt,2019,tt7893416,487416,0
Les hirondelles de Kaboul,https://www.imdb.com/title/tt7534102/?ref_=adv_li_tt,2019,tt7534102,582881,0
Sympathie pour le diable,https://www.imdb.com/title/tt7710486/?ref_=adv_li_tt,2019,tt7710486,636835,0
All Inclusive,https://www.imdb.com/title/tt8129966/?ref_=adv_li_tt,2019,tt8129966,510452,0
Mes jours de gloire,https://www.imdb.com/title/tt9625632/?ref_=adv_li_tt,2019,tt9625632,582911,0
L'Angle Mort,https://www.imdb.com/title/tt9412514/?ref_=adv_li_tt,2019,tt9412514,585093,0
La Grande Classe,https://www.imdb.com/title/tt10715194/?ref_=adv_li_tt,2019,tt10715194,624060,0
La dernière vie de Simon,https://www.imdb.com/title/tt6487174/?ref_=adv_li_tt,2019,tt6487174,616461,0
Toute ressemblance...,https://www.imdb.com/title/tt8338930/?ref_=adv_li_tt,2019,tt8338930,550158,0
Fahim,https://www.imdb.com/title/tt4693588/?ref_=adv_li_tt,2019,tt4693588,589978,0
Selfie,https://www.imdb.com/title/tt8572922/?ref_=adv_li_tt,VI 2019,tt8572922,613319,0
Mon Bébé,https://www.imdb.com/title/tt7682382/?ref_=adv_li_tt,2019,tt7682382,547539,8000000
Gloria Mundi,https://www.imdb.com/title/tt9584814/?ref_=adv_li_tt,2019,tt9584814,572521,4100000
Énorme,https://www.imdb.com/title/tt8076110/?ref_=adv_li_tt,2019,tt8076110,640561,0
Banlieusards,https://www.imdb.com/title/tt10958282/?ref_=adv_li_tt,2019,tt10958282,614488,0
Haut perchés,https://www.imdb.com/title/tt10608632/?ref_=adv_li_tt,2019,tt10608632,607444,0
L'extraordinaire voyage de Marona,https://www.imdb.com/title/tt6785292/?ref_=adv_li_tt,2019,tt6785292,568381,3000000
Vif-Argent,https://www.imdb.com/title/tt10224624/?ref_=adv_li_tt,2019,tt10224624,597693,0
Un Fils,https://www.imdb.com/title/tt10749760/?ref_=adv_li_tt,2019,tt10749760,618224,0
Mon frère,https://www.imdb.com/title/tt9095526/?ref_=adv_li_tt,2019,tt9095526,570137,0
Paris est à nous,https://www.imdb.com/title/tt7920024/?ref_=adv_li_tt,2019,tt7920024,504321,0
A French Woman,https://www.imdb.com/title/tt11841266/?ref_=adv_li_tt,2019,tt11841266,600136,0
Parole donnée,https://www.imdb.com/title/tt9233612/?ref_=adv_li_tt,2019,tt9233612,567417,0
La fameuse invasion des ours en Sicile,https://www.imdb.com/title/tt6284064/?ref_=adv_li_tt,2019,tt6284064,537655,0
Perdrix,https://www.imdb.com/title/tt10228204/?ref_=adv_li_tt,2019,tt10228204,592798,0
Inséparables,https://www.imdb.com/title/tt9811374/?ref_=adv_li_tt,2019,tt9811374,589984,0
Tu mérites un amour,https://www.imdb.com/title/tt10223546/?ref_=adv_li_tt,2019,tt10223546,596860,0
Venise n'est pas en Italie,https://www.imdb.com/title/tt8655574/?ref_=adv_li_tt,2019,tt8655574,570260,0
Notre Dame,https://www.imdb.com/title/tt9431080/?ref_=adv_li_tt,2019,tt9431080,582886,4360174
Oleg,https://www.imdb.com/title/tt7714770/?ref_=adv_li_tt,2019,tt7714770,597096,0
Rebelles,https://www.imdb.com/title/tt8083606/?ref_=adv_li_tt,2019,tt8083606,569814,0
Samsam,https://www.imdb.com/title/tt9784518/?ref_=adv_li_tt,2019,tt9784518,589973,0
La Sainte Famille,https://www.imdb.com/title/tt10489382/?ref_=adv_li_tt,2019,tt10489382,608742,0
Le dindon,https://www.imdb.com/title/tt8992390/?ref_=adv_li_tt,2019,tt8992390,590017,0
Mais vous êtes fous,https://www.imdb.com/title/tt8110662/?ref_=adv_li_tt,2019,tt8110662,534373,0
Chamboultout,https://www.imdb.com/title/tt8538552/?ref_=adv_li_tt,2019,tt8538552,574861,0
Qu'un sang impur...,https://www.imdb.com/title/tt9348690/?ref_=adv_li_tt,2019,tt9348690,582909,0
La lutte des classes,https://www.imdb.com/title/tt8171974/?ref_=adv_li_tt,2019,tt8171974,570132,0
Un monde plus grand,https://www.imdb.com/title/tt7265272/?ref_=adv_li_tt,2019,tt7265272,490462,0
Ma Famille et le Loup,https://www.imdb.com/title/tt5869404/?ref_=adv_li_tt,2019,tt5869404,613296,0
Made in China,https://www.imdb.com/title/tt9351598/?ref_=adv_li_tt,2019,tt9351598,602971,0
Joyeuse retraite!,https://www.imdb.com/title/tt9454778/?ref_=adv_li_tt,2019,tt9454778,589976,0
À cause des filles..?,https://www.imdb.com/title/tt8903294/?ref_=adv_li_tt,2019,tt8903294,568406,0
Eiga Doraemon: Nobita no getsumen tansaki,https://www.imdb.com/title/tt9735672/?ref_=adv_li_tt,2019,tt9735672,575222,65000000
Thalasso,https://www.imdb.com/title/tt9699640/?ref_=adv_li_tt,2019,tt9699640,582874,0
"Clément, Alex et tous les autres",https://www.imdb.com/title/tt7684416/?ref_=adv_li_tt,2019,tt7684416,608956,0
Les héros ne meurent jamais,https://www.imdb.com/title/tt9041212/?ref_=adv_li_tt,2019,tt9041212,582905,0
French Touch: Girls on Fire,https://www.imdb.com/title/tt10885700/?ref_=adv_li_tt,2019,tt10885700,626962,0
Camille,https://www.imdb.com/title/tt9678892/?ref_=adv_li_tt,2019,tt9678892,582912,0
Les éblouis,https://www.imdb.com/title/tt9170086/?ref_=adv_li_tt,2019,tt9170086,582906,0
Damien veut changer le monde,https://www.imdb.com/title/tt8399088/?ref_=adv_li_tt,2019,tt8399088,528668,0
Convoi exceptionnel,https://www.imdb.com/title/tt7664096/?ref_=adv_li_tt,2019,tt7664096,570128,0
Magari,https://www.imdb.com/title/tt8134358/?ref_=adv_li_tt,2019,tt8134358,614971,0
Rendez-vous Chez Les Malawas,https://www.imdb.com/title/tt10537978/?ref_=adv_li_tt,2019,tt10537978,643236,0
Je voudrais que quelqu'un m'attende quelque part,https://www.imdb.com/title/tt9151382/?ref_=adv_li_tt,2019,tt9151382,613336,0
Persona non grata,https://www.imdb.com/title/tt7801894/?ref_=adv_li_tt,2019,tt7801894,537180,3840000
Vers la bataille,https://www.imdb.com/title/tt9078936/?ref_=adv_li_tt,2019,tt9078936,592693,0
C'est quoi cette mamie?!,https://www.imdb.com/title/tt9777790/?ref_=adv_li_tt,2019,tt9777790,579898,0
Meltem,https://www.imdb.com/title/tt9053030/?ref_=adv_li_tt,2019,tt9053030,563673,0
Yves,https://www.imdb.com/title/tt10183616/?ref_=adv_li_tt,2019,tt10183616,570258,0
Jusqu'ici tout va bien,https://www.imdb.com/title/tt7882250/?ref_=adv_li_tt,2019,tt7882250,547388,9598644
